service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
16FALL-All-Weekday-01,1,1,1,1,1,0,0,20161207,20161216
16FALL-All-Weekday-01-0101000,0,1,0,1,0,0,0,20161207,20161216
16FALL-All-Weekday-01-0000100,0,0,0,0,1,0,0,20161207,20161216
16FALL-All-Weekday-01-1111000,1,1,1,1,0,0,0,20161207,20161216
16FALL-All-Weekday-01-0001100,0,0,0,1,1,0,0,20161207,20161216
16FALL-All-Saturday-01,0,0,0,0,0,1,0,20161210,20161217
16FALL-All-Sunday-01,0,0,0,0,0,0,1,20161211,20161218
16XMAS-All-Weekday-01,1,1,1,1,1,0,0,20161219,20161230
16XMAS-All-Saturday-01,0,0,0,0,0,1,0,20161224,20161231
16XMAS-All-Sunday-01,0,0,0,0,0,0,1,20161225,20170101
16XMAS-All-Holiday2-01,1,1,1,1,1,1,1,20161226,20161226
16XMAS-All-Holiday2-01-1111111,1,1,1,1,1,1,1,20161226,20161226
