shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10016,43.435221,-80.560327,10001
10016,43.434987,-80.560079,10002
10016,43.434688,-80.559763,10003
10016,43.434681,-80.559753,10004
10016,43.434663,-80.559780,10005
10016,43.434645,-80.559797,10006
10016,43.434626,-80.559809,10007
10016,43.434605,-80.559817,10008
10016,43.434584,-80.559820,10009
10016,43.434562,-80.559817,10010
10016,43.434542,-80.559810,10011
10016,43.434522,-80.559798,10012
10016,43.434509,-80.559784,10013
10016,43.434489,-80.559760,10014
10016,43.434477,-80.559736,10015
10016,43.434468,-80.559711,10016
10016,43.434462,-80.559681,10017
10016,43.434460,-80.559653,10018
10016,43.434462,-80.559623,10019
10016,43.434467,-80.559594,10020
10016,43.434476,-80.559567,10021
10016,43.434487,-80.559547,10022
10016,43.434504,-80.559522,10023
10016,43.434521,-80.559505,10024
10016,43.434541,-80.559493,10025
10016,43.434561,-80.559485,10026
10016,43.434583,-80.559482,10027
10016,43.434604,-80.559485,10028
10016,43.434625,-80.559492,10029
10016,43.434658,-80.559516,10030
10016,43.434979,-80.558940,10031
10016,43.435257,-80.558440,10032
10016,43.435235,-80.558409,10033
10016,43.435216,-80.558372,10034
10016,43.435198,-80.558325,10035
10016,43.435193,-80.558286,10036
10016,43.435189,-80.558240,10037
10016,43.435192,-80.558194,10038
10016,43.435200,-80.558150,10039
10016,43.435215,-80.558109,10040
10016,43.435222,-80.558093,10041
10016,43.434807,-80.557666,10042
10016,43.434424,-80.557284,10043
10016,43.432866,-80.555845,10044
10016,43.432489,-80.555514,10045
10016,43.432102,-80.555170,10046
10016,43.431321,-80.554497,10047
10016,43.430730,-80.554046,10048
10016,43.430149,-80.553668,10049
10016,43.429722,-80.553438,10050
10016,43.429359,-80.553250,10051
10016,43.429216,-80.553182,10052
10016,43.429216,-80.553182,20001
10016,43.429080,-80.553119,20002
10016,43.428977,-80.553086,20003
10016,43.428957,-80.553159,20004
10016,43.428924,-80.553222,20005
10016,43.428883,-80.553263,20006
10016,43.428835,-80.553288,20007
10016,43.428774,-80.553291,20008
10016,43.428711,-80.553261,20009
10016,43.428658,-80.553203,20010
10016,43.428626,-80.553118,20011
10016,43.428618,-80.553054,20012
10016,43.428621,-80.553005,20013
10016,43.428515,-80.552984,20014
10016,43.427306,-80.552670,20015
10016,43.426750,-80.552633,20016
10016,43.426291,-80.552613,20017
10016,43.425850,-80.552641,20018
10016,43.425606,-80.552651,20019
10016,43.425606,-80.552651,30001
10016,43.423587,-80.552735,30002
10016,43.423474,-80.552728,30003
10016,43.423474,-80.552728,40001
10016,43.423377,-80.552712,40002
10016,43.423217,-80.552713,40003
10016,43.423212,-80.552776,40004
10016,43.423194,-80.552840,40005
10016,43.423166,-80.552895,40006
10016,43.423118,-80.552950,40007
10016,43.423062,-80.552980,40008
10016,43.423003,-80.552981,40009
10016,43.422963,-80.552970,40010
10016,43.422918,-80.552940,40011
10016,43.422878,-80.552895,40012
10016,43.422849,-80.552840,40013
10016,43.422833,-80.552774,40014
10016,43.422828,-80.552715,40015
10016,43.421905,-80.552738,40016
10016,43.421462,-80.552739,40017
10016,43.417954,-80.552794,40018
10016,43.417473,-80.552806,40019
10016,43.417473,-80.552806,50001
10016,43.415913,-80.552846,50002
10016,43.415370,-80.552858,50003
10016,43.414914,-80.552851,50004
10016,43.414905,-80.552926,50005
10016,43.414884,-80.552983,50006
10016,43.414851,-80.553037,50007
10016,43.414809,-80.553075,50008
10016,43.414752,-80.553094,50009
10016,43.414713,-80.553095,50010
